EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132736) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   FG, Q_FG
  4970,132736,19690619,   36,    0
  4970,132736,19690620,   34,    0
  4970,132736,19690621,   32,    0
  4970,132736,19690622,   35,    0
  4970,132736,19690623,   48,    0
  4970,132736,19690624,   45,    0
  4970,132736,19690625,   61,    0
  4970,132736,19690626,   33,    0
  4970,132736,19690627,   23,    0
  4970,132736,19690628,   33,    0
  4970,132736,19690629,   15,    0
  4970,132736,19690630,   19,    0
  4970,132736,19690701,   14,    0
  4970,132736,19690702,   15,    0
  4970,132736,19690703,   19,    0
  4970,132736,19690704,   19,    0
  4970,132736,19690705,   33,    0
  4970,132736,19690706,   23,    0
  4970,132736,19690707,   87,    0
  4970,132736,19690708,   34,    0
  4970,132736,19690709,   34,    0
  4970,132736,19690710,   28,    0
  4970,132736,19690711,   38,    0
  4970,132736,19690712,   30,    0
  4970,132736,19690713,   24,    0
  4970,132736,19690714,   27,    0
  4970,132736,19690715,   50,    0
  4970,132736,19690716,   48,    0
  4970,132736,19690717,   42,    0
  4970,132736,19690718,   18,    0
  4970,132736,19690719,   26,    0
  4970,132736,19690720,   39,    0
  4970,132736,19690721,   17,    0
  4970,132736,19690722,   25,    0
  4970,132736,19690723,   32,    0
  4970,132736,19690724,   24,    0
  4970,132736,19690725,   18,    0
  4970,132736,19690726,   17,    0
  4970,132736,19690727,   26,    0
  4970,132736,19690728,   21,    0
  4970,132736,19690729,   51,    0
  4970,132736,19690730,   19,    0
  4970,132736,19690731,   31,    0
  4970,132736,19690801,   33,    0
  4970,132736,19690802,   48,    0
  4970,132736,19690803,   16,    0
  4970,132736,19690804,   17,    0
  4970,132736,19690805,   15,    0
  4970,132736,19690806,   20,    0
  4970,132736,19690807,   28,    0
  4970,132736,19690808,   39,    0
  4970,132736,19690809,   44,    0
  4970,132736,19690810,   43,    0
  4970,132736,19690811,   54,    0
  4970,132736,19690812,   59,    0
  4970,132736,19690813,   29,    0
  4970,132736,19690814,   24,    0
  4970,132736,19690815,   42,    0
  4970,132736,19690816,   42,    0
  4970,132736,19690817,   38,    0
  4970,132736,19690818,   28,    0
  4970,132736,19690819,   16,    0
  4970,132736,19690820,   28,    0
  4970,132736,19690821,   58,    0
  4970,132736,19690822,   47,    0
  4970,132736,19690823,   34,    0
  4970,132736,19690824,   45,    0
  4970,132736,19690825,   43,    0
  4970,132736,19690826,   49,    0
  4970,132736,19690827,   52,    0
  4970,132736,19690828,   61,    0
  4970,132736,19690829,   54,    0
  4970,132736,19690830,   16,    0
  4970,132736,19690831,   19,    0
  4970,132736,19690901,   24,    0
  4970,132736,19690902,   40,    0
  4970,132736,19690903,   27,    0
  4970,132736,19690904,   32,    0
  4970,132736,19690905,   36,    0
  4970,132736,19690906,   34,    0
  4970,132736,19690907,   35,    0
  4970,132736,19690908,   33,    0
  4970,132736,19690909,   25,    0
  4970,132736,19690910,   26,    0
  4970,132736,19690911,   30,    0
  4970,132736,19690912,   40,    0
  4970,132736,19690913,   31,    0
  4970,132736,19690914,   27,    0
  4970,132736,19690915,   12,    0
  4970,132736,19690916,   25,    0
  4970,132736,19690917,    9,    0
  4970,132736,19690918,   47,    0
  4970,132736,19690919,   42,    0
  4970,132736,19690920,   16,    0
  4970,132736,19690921,   55,    0
  4970,132736,19690922,   62,    0
  4970,132736,19690923,   20,    0
  4970,132736,19690924,   53,    0
  4970,132736,19690925,   36,    0
  4970,132736,19690926,   29,    0
  4970,132736,19690927,   50,    0
  4970,132736,19690928,   24,    0
  4970,132736,19690929,   28,    0
  4970,132736,19690930,   20,    0
  4970,132736,19691001,   39,    0
  4970,132736,19691002,   48,    0
  4970,132736,19691003,   36,    0
  4970,132736,19691004,   22,    0
  4970,132736,19691005,   30,    0
  4970,132736,19691006,   18,    0
  4970,132736,19691007,    8,    0
  4970,132736,19691008,   11,    0
  4970,132736,19691009,   25,    0
  4970,132736,19691010,   15,    0
  4970,132736,19691011,   26,    0
  4970,132736,19691012,   31,    0
  4970,132736,19691013,   21,    0
  4970,132736,19691014,   40,    0
  4970,132736,19691015,   16,    0
  4970,132736,19691016,   25,    0
  4970,132736,19691017,   41,    0
  4970,132736,19691018,   26,    0
  4970,132736,19691019,   17,    0
  4970,132736,19691020,   14,    0
  4970,132736,19691021,   18,    0
  4970,132736,19691022,   13,    0
  4970,132736,19691023,   17,    0
  4970,132736,19691024,   54,    0
  4970,132736,19691025,   31,    0
  4970,132736,19691026,   26,    0
  4970,132736,19691027,   15,    0
  4970,132736,19691028,   13,    0
  4970,132736,19691029,   28,    0
  4970,132736,19691030,   50,    0
  4970,132736,19691031,   33,    0
  4970,132736,19691101,   38,    0
  4970,132736,19691102,   45,    0
  4970,132736,19691103,   71,    0
  4970,132736,19691104,   91,    0
  4970,132736,19691105,   35,    0
