EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 HU   : Humidity in 1 %
30-34 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132735) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   HU, Q_HU
  4970,132735,19620107,   96,    0
  4970,132735,19620108,   89,    0
  4970,132735,19620109,   93,    0
  4970,132735,19620110,   87,    0
  4970,132735,19620111,   82,    0
  4970,132735,19620112,   89,    0
  4970,132735,19620113,   90,    0
  4970,132735,19620114,   91,    0
  4970,132735,19620115,   89,    0
  4970,132735,19620116,   71,    0
  4970,132735,19620117,   88,    0
  4970,132735,19620118,   90,    0
  4970,132735,19620119,   88,    0
  4970,132735,19620120,   94,    0
  4970,132735,19620121,   86,    0
  4970,132735,19620122,   81,    0
  4970,132735,19620123,   92,    0
  4970,132735,19620124,   93,    0
  4970,132735,19620125,   94,    0
  4970,132735,19620126,   95,    0
  4970,132735,19620127,   81,    0
  4970,132735,19620128,   93,    0
  4970,132735,19620129,   78,    0
  4970,132735,19620130,   81,    0
  4970,132735,19620131,   78,    0
  4970,132735,19620201,   86,    0
  4970,132735,19620202,   93,    0
  4970,132735,19620203,   89,    0
  4970,132735,19620204,   97,    0
  4970,132735,19620205,   85,    0
  4970,132735,19620206,   99,    0
  4970,132735,19620207,   93,    0
  4970,132735,19620208,   92,    0
  4970,132735,19620209,   84,    0
  4970,132735,19620210,   76,    0
  4970,132735,19620211,   78,    0
  4970,132735,19620212,   96,    0
  4970,132735,19620213,   96,    0
  4970,132735,19620214,   94,    0
  4970,132735,19620215,   84,    0
  4970,132735,19620216,   92,    0
  4970,132735,19620217,   81,    0
  4970,132735,19620218,   88,    0
  4970,132735,19620219,   81,    0
  4970,132735,19620220,   82,    0
  4970,132735,19620221,   71,    0
  4970,132735,19620222,   71,    0
  4970,132735,19620223,   70,    0
  4970,132735,19620224,   75,    0
  4970,132735,19620225,   81,    0
  4970,132735,19620226,   80,    0
  4970,132735,19620227,   76,    0
  4970,132735,19620228,   81,    0
  4970,132735,19620301,   91,    0
  4970,132735,19620302,   84,    0
  4970,132735,19620303,   82,    0
  4970,132735,19620304,   92,    0
  4970,132735,19620305,   92,    0
  4970,132735,19620306,   82,    0
  4970,132735,19620307,   76,    0
  4970,132735,19620308,   59,    0
  4970,132735,19620309,   73,    0
  4970,132735,19620310,   88,    0
  4970,132735,19620311,   92,    0
  4970,132735,19620312,   82,    0
  4970,132735,19620313,   79,    0
  4970,132735,19620314,   86,    0
  4970,132735,19620315,   90,    0
  4970,132735,19620316,   74,    0
  4970,132735,19620317,   81,    0
  4970,132735,19620318,   75,    0
  4970,132735,19620319,   67,    0
  4970,132735,19620320,   68,    0
  4970,132735,19620321,   75,    0
  4970,132735,19620322,   68,    0
  4970,132735,19620323,   68,    0
  4970,132735,19620324,   70,    0
  4970,132735,19620325,   70,    0
  4970,132735,19620326,   77,    0
  4970,132735,19620327,   84,    0
  4970,132735,19620328,   74,    0
  4970,132735,19620329,   95,    0
  4970,132735,19620330,   93,    0
  4970,132735,19620331,   86,    0
  4970,132735,19620401,   77,    0
  4970,132735,19620402,   78,    0
  4970,132735,19620403,   82,    0
  4970,132735,19620404,   90,    0
  4970,132735,19620405,   94,    0
  4970,132735,19620406,   92,    0
  4970,132735,19620407,   88,    0
  4970,132735,19620408,   87,    0
  4970,132735,19620409,   92,    0
  4970,132735,19620410,   94,    0
  4970,132735,19620411,   78,    0
  4970,132735,19620412,   91,    0
  4970,132735,19620413,   76,    0
  4970,132735,19620414,   92,    0
  4970,132735,19620415,   92,    0
  4970,132735,19620416,   77,    0
  4970,132735,19620417,   64,    0
  4970,132735,19620418,   53,    0
  4970,132735,19620419,   77,    0
  4970,132735,19620420,   78,    0
  4970,132735,19620421,   68,    0
  4970,132735,19620422,   78,    0
  4970,132735,19620423,   68,    0
  4970,132735,19620424,   62,    0
  4970,132735,19620425,   71,    0
  4970,132735,19620426,   69,    0
  4970,132735,19620427,   79,    0
  4970,132735,19620428,   70,    0
  4970,132735,19620429,   73,    0
  4970,132735,19620430,   63,    0
  4970,132735,19620501,   56,    0
  4970,132735,19620502,   74,    0
  4970,132735,19620503,   59,    0
  4970,132735,19620504,   70,    0
  4970,132735,19620505,   69,    0
  4970,132735,19620506,   94,    0
  4970,132735,19620507,   58,    0
  4970,132735,19620508,   82,    0
  4970,132735,19620509,   89,    0
  4970,132735,19620510,   80,    0
  4970,132735,19620511,   80,    0
  4970,132735,19620512,   85,    0
  4970,132735,19620513,   82,    0
  4970,132735,19620514,   84,    0
  4970,132735,19620515,   92,    0
  4970,132735,19620516,   80,    0
  4970,132735,19620517,   81,    0
  4970,132735,19620518,   74,    0
  4970,132735,19620519,   76,    0
  4970,132735,19620520,   81,    0
  4970,132735,19620521,   82,    0
  4970,132735,19620522,   78,    0
  4970,132735,19620523,   72,    0
  4970,132735,19620524,   84,    0
  4970,132735,19620525,   81,    0
  4970,132735,19620526,   84,    0
  4970,132735,19620527,   79,    0
  4970,132735,19620528,   83,    0
  4970,132735,19620529,   83,    0
  4970,132735,19620530,   79,    0
  4970,132735,19620531,   66,    0
  4970,132735,19620601,   67,    0
  4970,132735,19620602,   65,    0
  4970,132735,19620603,   58,    0
  4970,132735,19620604,   52,    0
  4970,132735,19620605,   55,    0
  4970,132735,19620606,   54,    0
  4970,132735,19620607,   49,    0
  4970,132735,19620608,   58,    0
  4970,132735,19620609,   50,    0
  4970,132735,19620610,   59,    0
  4970,132735,19620611,   76,    0
  4970,132735,19620612,   69,    0
  4970,132735,19620613,   58,    0
  4970,132735,19620614,   67,    0
  4970,132735,19620615,   64,    0
  4970,132735,19620616,   67,    0
  4970,132735,19620617,   69,    0
  4970,132735,19620618,   61,    0
  4970,132735,19620619,   66,    0
  4970,132735,19620620,   66,    0
  4970,132735,19620621,   72,    0
  4970,132735,19620622,   62,    0
  4970,132735,19620623,   66,    0
  4970,132735,19620624,   57,    0
  4970,132735,19620625,   59,    0
  4970,132735,19620626,   57,    0
  4970,132735,19620627,   73,    0
  4970,132735,19620628,   67,    0
  4970,132735,19620629,   61,    0
  4970,132735,19620630,   76,    0
  4970,132735,19620701,   80,    0
  4970,132735,19620702,   76,    0
  4970,132735,19620703,   78,    0
  4970,132735,19620704,   82,    0
  4970,132735,19620705,   80,    0
  4970,132735,19620706,   87,    0
  4970,132735,19620707,   72,    0
  4970,132735,19620708,   60,    0
  4970,132735,19620709,   47,    0
  4970,132735,19620710,   60,    0
  4970,132735,19620711,   71,    0
  4970,132735,19620712,   80,    0
  4970,132735,19620713,   84,    0
  4970,132735,19620714,   81,    0
  4970,132735,19620715,   89,    0
  4970,132735,19620716,   94,    0
  4970,132735,19620717,   77,    0
  4970,132735,19620718,   74,    0
  4970,132735,19620719,   70,    0
  4970,132735,19620720,   74,    0
  4970,132735,19620721,   86,    0
  4970,132735,19620722,   71,    0
  4970,132735,19620723,   69,    0
  4970,132735,19620724,   58,    0
  4970,132735,19620725,   62,    0
  4970,132735,19620726,   77,    0
  4970,132735,19620727,   78,    0
  4970,132735,19620728,   76,    0
  4970,132735,19620729,   69,    0
  4970,132735,19620730,   71,    0
  4970,132735,19620731,   67,    0
  4970,132735,19620801,   68,    0
  4970,132735,19620802,   74,    0
  4970,132735,19620803,   81,    0
  4970,132735,19620804,   84,    0
  4970,132735,19620805,   88,    0
  4970,132735,19620806,   84,    0
  4970,132735,19620807,   78,    0
  4970,132735,19620808,   79,    0
  4970,132735,19620809,   67,    0
  4970,132735,19620810,   77,    0
  4970,132735,19620811,   74,    0
  4970,132735,19620812,   60,    0
  4970,132735,19620813,   68,    0
  4970,132735,19620814,   83,    0
  4970,132735,19620815,   71,    0
  4970,132735,19620816,   79,    0
  4970,132735,19620817,   76,    0
  4970,132735,19620818,   78,    0
  4970,132735,19620819,   72,    0
  4970,132735,19620820,   51,    0
  4970,132735,19620821,   75,    0
  4970,132735,19620822,   73,    0
  4970,132735,19620823,   70,    0
  4970,132735,19620824,   89,    0
  4970,132735,19620825,   77,    0
  4970,132735,19620826,   65,    0
  4970,132735,19620827,   69,    0
  4970,132735,19620828,   65,    0
  4970,132735,19620829,   73,    0
  4970,132735,19620830,   71,    0
  4970,132735,19620831,   74,    0
  4970,132735,19620901,   60,    0
  4970,132735,19620902,   57,    0
  4970,132735,19620903,   50,    0
  4970,132735,19620904,   88,    0
  4970,132735,19620905,   82,    0
  4970,132735,19620906,   92,    0
  4970,132735,19620907,   89,    0
  4970,132735,19620908,   86,    0
  4970,132735,19620909,   78,    0
  4970,132735,19620910,   69,    0
  4970,132735,19620911,   77,    0
  4970,132735,19620912,   72,    0
  4970,132735,19620913,   86,    0
  4970,132735,19620914,   72,    0
  4970,132735,19620915,   75,    0
  4970,132735,19620916,   84,    0
  4970,132735,19620917,   88,    0
  4970,132735,19620918,   90,    0
  4970,132735,19620919,   94,    0
  4970,132735,19620920,   91,    0
  4970,132735,19620921,   89,    0
  4970,132735,19620922,   92,    0
  4970,132735,19620923,   90,    0
  4970,132735,19620924,   80,    0
  4970,132735,19620925,   68,    0
  4970,132735,19620926,   82,    0
  4970,132735,19620927,   98,    0
  4970,132735,19620928,   95,    0
  4970,132735,19620929,   84,    0
  4970,132735,19620930,   75,    0
  4970,132735,19621001,   75,    0
  4970,132735,19621002,   74,    0
  4970,132735,19621003,   77,    0
  4970,132735,19621004,   88,    0
  4970,132735,19621005,   87,    0
  4970,132735,19621006,   82,    0
  4970,132735,19621007,   78,    0
  4970,132735,19621008,   76,    0
  4970,132735,19621009,   73,    0
  4970,132735,19621010,   71,    0
  4970,132735,19621011,   75,    0
  4970,132735,19621012,   85,    0
  4970,132735,19621013,   87,    0
  4970,132735,19621014,   93,    0
  4970,132735,19621015,   79,    0
  4970,132735,19621016,   75,    0
  4970,132735,19621017,   85,    0
  4970,132735,19621018,   75,    0
  4970,132735,19621019,   81,    0
  4970,132735,19621020,   77,    0
  4970,132735,19621021,   69,    0
  4970,132735,19621022,   66,    0
  4970,132735,19621023,   80,    0
  4970,132735,19621024,   76,    0
  4970,132735,19621025,   88,    0
  4970,132735,19621026,   70,    0
  4970,132735,19621027,   87,    0
  4970,132735,19621028,   92,    0
  4970,132735,19621029,   95,    0
  4970,132735,19621030,   94,    0
  4970,132735,19621031,   91,    0
  4970,132735,19621101,   96,    0
  4970,132735,19621102,   80,    0
  4970,132735,19621103,   69,    0
  4970,132735,19621104,   61,    0
  4970,132735,19621105,   86,    0
  4970,132735,19621106,   78,    0
  4970,132735,19621107,   70,    0
  4970,132735,19621108,   70,    0
  4970,132735,19621109,   85,    0
  4970,132735,19621110,   96,    0
  4970,132735,19621111,   97,    0
  4970,132735,19621112,   97,    0
  4970,132735,19621113,   94,    0
  4970,132735,19621114,   89,    0
  4970,132735,19621115,   90,    0
  4970,132735,19621116,   89,    0
  4970,132735,19621117,   87,    0
  4970,132735,19621118,   92,    0
  4970,132735,19621119,   90,    0
  4970,132735,19621120,   88,    0
  4970,132735,19621121,   92,    0
  4970,132735,19621122,   89,    0
  4970,132735,19621123,   94,    0
  4970,132735,19621124,   81,    0
  4970,132735,19621125,   73,    0
  4970,132735,19621126,   98,    0
  4970,132735,19621127,   95,    0
  4970,132735,19621128,   96,    0
  4970,132735,19621129,   88,    0
