EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SD   : Snow depth in 1 cm
30-34 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132731) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   SD, Q_SD
  4970,132731,19620612,    0,    0
  4970,132731,19620613,    0,    0
  4970,132731,19620614,    0,    0
  4970,132731,19620615,    0,    0
  4970,132731,19620616,    0,    0
  4970,132731,19620617,    0,    0
  4970,132731,19620618,    0,    0
  4970,132731,19620619,    0,    0
  4970,132731,19620620,    0,    0
  4970,132731,19620621,    0,    0
  4970,132731,19620622,    0,    0
  4970,132731,19620623,    0,    0
  4970,132731,19620624,    0,    0
  4970,132731,19620625,    0,    0
  4970,132731,19620626,    0,    0
  4970,132731,19620627,    0,    0
  4970,132731,19620628,    0,    0
  4970,132731,19620629,    0,    0
  4970,132731,19620630,    0,    0
  4970,132731,19620701,    0,    0
  4970,132731,19620702,    0,    0
  4970,132731,19620703,    0,    0
  4970,132731,19620704,    0,    0
  4970,132731,19620705,    0,    0
  4970,132731,19620706,    0,    0
  4970,132731,19620707,    0,    0
  4970,132731,19620708,    0,    0
  4970,132731,19620709,    0,    0
  4970,132731,19620710,    0,    0
  4970,132731,19620711,    0,    0
  4970,132731,19620712,    0,    0
  4970,132731,19620713,    0,    0
  4970,132731,19620714,    0,    0
  4970,132731,19620715,    0,    0
  4970,132731,19620716,    0,    0
  4970,132731,19620717,    0,    0
  4970,132731,19620718,    0,    0
  4970,132731,19620719,    0,    0
  4970,132731,19620720,    0,    0
  4970,132731,19620721,    0,    0
  4970,132731,19620722,    0,    0
  4970,132731,19620723,    0,    0
  4970,132731,19620724,    0,    0
  4970,132731,19620725,    0,    0
  4970,132731,19620726,    0,    0
  4970,132731,19620727,    0,    0
