EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 CC   : Cloud cover in oktas
30-34 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132727) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   CC, Q_CC
  4970,132727,19611102,    7,    0
  4970,132727,19611103,    8,    0
  4970,132727,19611104,    6,    0
  4970,132727,19611105,    5,    0
  4970,132727,19611106,    3,    0
  4970,132727,19611107,    8,    0
  4970,132727,19611108,    8,    0
  4970,132727,19611109,    8,    0
  4970,132727,19611110,    7,    0
  4970,132727,19611111,    5,    0
  4970,132727,19611112,    8,    0
  4970,132727,19611113,    6,    0
  4970,132727,19611114,    8,    0
  4970,132727,19611115,    8,    0
  4970,132727,19611116,    8,    0
  4970,132727,19611117,    5,    0
  4970,132727,19611118,    7,    0
  4970,132727,19611119,    5,    0
  4970,132727,19611120,    0,    0
  4970,132727,19611121,    0,    0
  4970,132727,19611122,    2,    0
  4970,132727,19611123,    6,    0
  4970,132727,19611124,    8,    0
  4970,132727,19611125,    8,    0
  4970,132727,19611126,    8,    0
  4970,132727,19611127,    7,    0
  4970,132727,19611128,    8,    0
  4970,132727,19611129,    3,    0
  4970,132727,19611130,    8,    0
  4970,132727,19611201,    8,    0
  4970,132727,19611202,    4,    0
  4970,132727,19611203,    6,    0
  4970,132727,19611204,    8,    0
  4970,132727,19611205,    7,    0
  4970,132727,19611206,    5,    0
  4970,132727,19611207,    5,    0
  4970,132727,19611208,    2,    0
  4970,132727,19611209,    8,    0
  4970,132727,19611210,    8,    0
  4970,132727,19611211,    8,    0
  4970,132727,19611212,    7,    0
  4970,132727,19611213,    8,    0
  4970,132727,19611214,    8,    0
  4970,132727,19611215,    3,    0
  4970,132727,19611216,    4,    0
  4970,132727,19611217,    0,    0
  4970,132727,19611218,    0,    0
  4970,132727,19611219,    0,    0
  4970,132727,19611220,    8,    0
  4970,132727,19611221,    8,    0
  4970,132727,19611222,    8,    0
  4970,132727,19611223,    6,    0
  4970,132727,19611224,    2,    0
  4970,132727,19611225,    0,    0
  4970,132727,19611226,    8,    0
  4970,132727,19611227,    8,    0
  4970,132727,19611228,    8,    0
  4970,132727,19611229,    8,    0
  4970,132727,19611230,    6,    0
  4970,132727,19611231,    7,    0
  4970,132727,19620101,    7,    0
  4970,132727,19620102,    6,    0
  4970,132727,19620103,    1,    0
  4970,132727,19620104,    4,    0
  4970,132727,19620105,    5,    0
  4970,132727,19620106,    8,    0
  4970,132727,19620107,    8,    0
  4970,132727,19620108,    3,    0
  4970,132727,19620109,    8,    0
